DateTime,Entries,UniqueIPs
1581459626,688,688
1581461532,678,678
1581463454,680,680
1581465386,684,684
1581467294,684,684
1581469228,681,681
1581471146,692,692
1581473063,694,694
1581474985,695,695
1581476914,699,699
1581478812,695,695
1581480737,690,690
1581482668,687,687
1581484576,689,689
1581487456,687,687
1581489377,680,680
1581491564,672,672
1581493448,668,668
1581495376,635,635
1581497292,721,721
1581499222,1565,1565
1581501155,1567,1567
1581503051,1576,1576
1581504981,1575,1575
1581506886,1576,1576
1581509796,1568,1568
1581511696,1568,1568
1581513635,1566,1566
1581515533,1570,1570
1581517473,1572,1572
1581519370,1573,1573
1581521304,1576,1576
1581524169,1575,1575
1581526094,1576,1576
1581528007,1570,1570
1581529930,1571,1571
1581531863,1575,1575
1581533769,1580,1580
1581535684,1587,1587
1581538572,1585,1585
1581540521,1584,1584
1581542410,1585,1585
1581544330,1587,1587
1581546281,1591,1591
1581548171,1598,1598
1581550101,1601,1601
1581552981,1599,1599
1581554892,1609,1609
1581556806,1600,1600
1581558727,1601,1601
1581560659,1605,1605
1581562568,1609,1609
1581564589,1608,1608
1581567653,1610,1610
1581569560,1612,1612
1581571467,1614,1614
1581573371,1615,1615
1581575320,1620,1620
1581578166,1624,1624
1581580087,1626,1626
1581582012,1628,1628
1581583927,1279,1279
1581585849,672,672
1581587770,672,672
1581589686,663,663
1581592570,669,669
1581594488,672,672
1581596422,677,677
1581598330,675,675
1581600267,675,675
1581602170,684,684
1581604086,689,689
1581606978,698,698
1581608888,701,701
1581610809,708,708
1581612727,716,716
1581614669,729,729
1581616571,744,744
1581618489,775,775
1581621373,808,808
1581623287,814,814
1581625208,813,813
1581627144,823,823
1581629050,823,823
1581630967,828,828
1581632885,827,827
1581635775,830,830
1581637691,830,830
1581639605,831,831
1581641525,830,830
1581643450,828,828
1581645367,827,827
1581647284,829,829
1581650179,831,831
1581652089,834,834
1581654005,836,836
1581655926,836,836
1581657849,835,835
1581660736,834,834
1581662656,832,832
1581664597,833,833
1581666490,834,834
1581668413,831,831
1581670348,834,834
1581672251,819,819
1581674180,851,851
1581676088,856,856
1581678993,855,855
1581680886,859,859
1581682816,862,862
1581684725,862,862
1581686652,860,860
1581688592,868,868
1581690489,869,869
1581692422,868,868
1581694333,869,869
1581696503,866,866
1581698409,865,865
1581700333,870,870
1581702264,862,862
1581704198,839,839
1581706091,806,806
1581708018,794,794
1581709927,787,787
1581711861,842,842
1581713783,838,838
1581715690,830,830
1581718574,828,828
1581720732,832,832
1581722651,826,826
1581724586,825,825
1581726492,828,828
1581729377,830,830
1581731290,825,825
1581733225,825,825
1581735126,826,826
1581737064,827,827
1581738971,824,824
1581740888,829,829
1581743774,827,827
1581745706,827,827
1581747607,824,824
1581749546,825,825
1581751467,822,822
1581753384,845,845
1581755309,844,844
1581758181,841,841
1581760106,826,826
1581762010,824,824
1581763947,811,811
1581765866,814,814
1581767777,809,809
1581769690,804,804
1581772584,797,797
1581774507,793,793
1581776414,783,783
1581778328,787,787
1581780264,786,786
1581782178,780,780
1581784094,778,778
1581786975,769,769
1581788912,764,764
1581790819,758,758
1581792731,753,753
1581794688,753,753
1581796586,760,760
1581798493,768,768
1581801371,770,770
1581803289,711,711
1581805221,708,708
1581807148,702,702
1581809065,696,696
1581810967,688,688
1581812889,686,686
1581815769,677,677
1581817709,672,672
1581819605,671,671
1581821529,674,674
1581823452,677,677
1581825384,672,672
1581827312,662,662
1581829238,659,659
1581831153,744,744
1581833324,917,917
1581835218,1100,1100
1581837399,1130,1130
1581839296,1130,1130
1581841230,1136,1136
1581843148,1138,1138
1581845055,1150,1150
1581846985,1229,1229
1581848890,1232,1232
1581852024,1253,1253
1581853943,1334,1334
1581855847,1338,1338
1581857789,1340,1340
1581859696,1375,1375
1581861632,1381,1381
1581863548,1385,1385
1581865719,1422,1422
1581867611,1451,1451
1581869551,1592,1592
1581871466,1736,1736
1581873389,1737,1737
1581875536,1735,1735
1581877464,1737,1737
1581879389,1769,1769
1581881289,1774,1774
1581884172,1771,1771
1581886093,1775,1775
1581888024,1771,1771
1581889937,1780,1780
1581891855,1784,1784
1581893783,1782,1782
1581895688,1781,1781
1581897634,1802,1802
1581899547,2082,2082
1581901461,2235,2235
1581903369,2604,2604
1581905305,2904,2904
1581907210,3156,3156
1581909387,3329,3329
1581911308,3435,3435
1581913222,3554,3554
1581915133,3783,3783
1581917051,3775,3775
1581918983,4031,4031
1581920888,4225,4225
1581923789,4429,4429
1581925717,4574,4574
1581927622,4723,4723
1581929527,4925,4925
1581931449,5177,5177
1581933386,5322,5322
1581935300,5446,5446
1581937233,5630,5630
1581939150,5752,5752
1581941322,5926,5926
1581943212,6139,6139
1581945134,6320,6320
1581947069,6536,6536
1581948987,6747,6747
1581950890,6899,6899
1581952826,6899,6899
1581954737,6897,6897
1581956688,6895,6895
1581958567,6898,6898
1581960487,6899,6899
1581962460,6899,6899
1581964333,6896,6896
1581966498,6882,6882
1581968414,6739,6739
1581970359,6584,6584
1581972254,6550,6550
1581974203,6550,6550
1581976098,6508,6508
1581978044,6500,6500
1581979934,6485,6485
1581981850,6484,6484
1581983821,6481,6481
1581985690,6202,6202
1581988575,5874,5874
1581990513,5458,5458
1581992409,5145,5145
1581994328,4931,4931
1581996275,4775,4775
1581998172,4689,4689
1582000093,4551,4551
1582002059,4282,4282
1582003936,4176,4176
1582005873,3791,3791
1582007791,3498,3498
1582009696,3270,3270
1582011610,3132,3132
1582013575,2960,2960
1582015453,2753,2753
1582017374,2548,2548
1582019312,2315,2315
1582021207,2186,2186
1582023126,2004,2004
1582025092,1845,1845
1582026969,1723,1723
1582029131,1506,1506
1582031298,1325,1325
1582033209,1086,1086
1582035155,861,861
1582037055,693,693
1582038992,698,698
1582040906,702,702
1582042806,1149,1149
1582044990,2148,2148
1582046886,2154,2154
1582049778,2152,2152
1582051714,2150,2150
1582053613,2147,2147
1582055529,2147,2147
1582057465,2148,2148
1582059368,2149,2149
1582061303,2149,2149
1582063229,2148,2148
1582065158,2146,2146
1582067078,2144,2144
1582068984,2147,2147
1582070894,2143,2143
1582072811,2144,2144
1582074759,2141,2141
1582076651,2137,2137
1582078575,2136,2136
1582080507,2113,2113
1582082418,2105,2105
1582084346,2106,2106
1582086268,2105,2105
1582088170,2105,2105
1582090087,2105,2105
1582092050,2105,2105
1582093930,2107,2107
1582096101,2109,2109
1582098019,2109,2109
1582099952,2101,2101
1582101857,2100,2100
1582103801,2099,2099
1582105694,2093,2093
1582107640,2088,2088
1582109545,2086,2086
1582111465,2080,2080
1582113391,2076,2076
1582115294,2064,2064
1582117253,2059,2059
1582119158,2060,2060
1582121335,2056,2056
1582123218,2057,2057
1582125135,2057,2057
1582127070,2049,2049
1582128971,1696,1696
1582130894,680,680
1582132830,573,573
1582134729,574,574
1582136651,575,575
1582138586,577,577
1582140488,601,601
1582142462,597,597
1582144350,593,593
1582146519,587,587
1582148414,590,590
1582150583,591,591
1582152518,602,602
1582154419,607,607
1582156330,612,612
1582158268,612,612
1582160168,611,611
1582162088,610,610
1582164978,606,606
1582166894,604,604
1582168810,605,605
1582170767,600,600
1582172651,600,600
1582174585,596,596
1582176486,595,595
1582178436,596,596
1582180346,580,580
1582182271,587,587
1582184170,585,585
1582186122,580,580
1582188012,581,581
1582189934,579,579
1582191866,584,584
1582193806,586,586
1582195693,588,588
1582197631,588,588
1582199535,593,593
1582201455,590,590
1582203384,587,587
1582205290,587,587
1582208173,584,584
1582210095,581,581
1582212024,576,576
1582213932,577,577
1582215850,572,572
1582217788,574,574
1582219687,592,592
