DateTime,AddedIPs,RemovedIPs
1582321322,80,80
1582322521,79,79
1582323722,79,79
1582324321,80,80
1582325521,80,80
1582326722,80,80
1582327322,80,80
1582327922,80,80
1582329121,80,80
1582329721,80,80
1582330921,74,74
1582331521,80,80
1582332121,79,79
1582332721,80,80
1582334521,78,78
1582335121,80,80
1582336321,76,76
1582336922,76,76
1582338121,76,76
1582339321,80,80
1582339921,80,80
1582341721,77,77
1582342321,80,80
1582343521,80,80
1582344121,78,78
1582345322,80,80
1582345921,80,80
1582346522,80,80
1582347721,77,77
1582348921,80,80
1582350121,80,80
1582351321,80,80
1582352522,79,79
1582353721,80,80
1582354921,80,80
1582355521,80,80
1582356721,76,76
1582357321,79,79
1582358521,79,79
1582359721,79,79
1582360921,80,80
1582362122,80,80
1582362721,80,80
1582363322,80,80
1582364521,80,80
1582365121,80,80
1582365721,80,80
1582366322,80,80
1582366922,78,78
1582367521,78,78
1582368122,78,78
1582369321,77,77
1582369921,80,80
1582370521,79,79
1582371121,78,78
1582371721,80,80
1582372322,80,80
1582372921,80,80
1582373522,80,80
1582374721,73,73
1582375921,80,80
1582376522,80,80
1582377121,80,80
1582377722,80,80
1582378921,77,77
1582380121,77,77
1582381321,80,80
1582381921,80,80
1582382521,80,80
1582383121,80,80
1582383722,80,80
1582385521,80,80
1582386121,80,80
1582387321,80,80
1582388521,80,80
1582389121,80,80
1582389722,80,80
1582390921,80,80
1582391521,80,80
1582392122,49,49
1582393321,79,79
1582394521,77,77
1582395121,80,80
1582395722,80,80
1582396322,80,80
1582396921,80,80
1582398121,79,79
1582399322,80,80
1582399921,80,80
1582400521,80,80
1582401121,80,80
1582402321,79,79
1582402921,80,80
1582403521,80,80
1582404722,80,80
1582405321,80,80
1582406521,80,80
1582407721,80,80
1582408921,80,80
1582409521,80,80
1582410722,80,80
1582411321,79,79
1582411921,75,75
1582412521,80,80
1582413721,79,79
1582414921,80,80
1582416121,77,77
1582416722,80,80
1582417921,80,80
1582418521,80,80
1582419721,80,80
1582420921,80,80
1582422121,80,80
1582423321,80,80
1582423921,80,80
1582425121,79,79
1582425721,80,80
1582426921,80,80
1582428121,80,80
1582429321,80,80
1582430522,74,74
1582431122,80,80
1582431721,20,20
1582432922,20,20
1582434122,80,80
1582435322,80,80
1582436522,73,73
1582437721,80,80
1582438921,75,75
1582440122,78,78
1582441321,80,80
1582442521,80,80
1582443721,72,72
1582444921,79,79
1582445522,80,80
1582446722,80,80
1582447921,80,80
1582449121,80,80
1582449722,80,80
1582450921,80,80
1582452121,76,76
1582453321,24,24
1582453921,80,80
1582454522,80,80
1582455122,79,79
1582455721,80,80
1582456922,80,80
