DateTime,AddedIPs,RemovedIPs
1581628217,20,20
1581630130,17,39
1581632049,20,20
1581632892,14,1
1581634019,9,39
1581635652,17,16
1581636912,19,41
1581639252,39,25
1581641098,20,35
1581641775,15,0
1581642851,7,15
1581644427,15,24
1581645635,12,13
1581646812,20,0
1581648133,17,51
1581649813,22,15
1581651734,29,34
1581653652,18,15
1581654914,12,36
1581656324,15,25
1581657249,6,1
1581658932,12,35
1581659770,8,0
1581660850,14,14
1581662111,15,24
1581663929,21,21
1581664450,7,0
1581665291,10,0
1581666129,11,32
1581668054,29,11
1581669314,17,28
1581670591,13,15
1581671656,16,20
1581673330,21,27
1581675254,22,14
1581676347,18,23
1581677710,25,9
1581678915,15,20
1581679693,7,0
1581681047,13,34
1581682215,19,14
1581684132,20,30
1581686053,31,16
1581687628,31,51
1581689652,29,29
1581691227,33,59
1581693012,35,19
1581694211,24,32
1581696033,45,29
1581697205,0,3788
1581698712,3807,0
1581700449,30,11
1581702125,0,3826
1581702972,3837,0
1581704113,14,19
1581705348,18,33
1581706511,15,7
1581707653,16,19
1581709333,21,34
1581711251,30,23
1581712091,18,0
1581713771,25,44
1581714851,16,18
1581715692,10,0
1581717002,19,39
1581718214,21,15
1581720134,30,49
1581722053,23,18
1581722889,11,0
1581724229,19,39
1581725376,15,18
1581727330,23,57
1581728890,25,18
1581730092,27,0
1581731450,15,46
1581732620,12,20
1581734532,41,34
1581736222,20,15
1581738131,34,22
1581739813,26,17
1581741017,20,27
1581742209,13,9
1581743421,26,22
1581744615,17,30
1581746172,14,9
1581747250,24,23
1581748091,25,1
1581748933,19,61
1581749771,28,0
1581751694,32,38
1581752839,16,51
1581754450,21,25
1581755936,21,35
1581757848,33,33
1581759015,20,25
1581760333,19,9
1581761715,12,25
1581763337,25,38
1581765019,29,22
1581766934,24,34
1581768612,21,20
1581770532,25,65
1581772454,16,24
1581773290,15,0
1581774495,27,39
1581775819,17,12
1581777732,30,28
1581779411,26,16
1581781329,33,33
1581782170,11,0
1581783308,0,3682
1581784092,3687,0
1581785712,30,19
1581786910,12,18
1581788428,26,32
1581789370,13,0
1581790513,21,18
1581792134,31,22
1581794050,25,44
1581795309,17,20
1581796573,21,8
1581797714,17,15
1581799335,27,24
1581800170,23,0
1581801316,18,10
1581802090,6,0
1581802932,8,22
1581804852,27,14
1581805989,12,30
1581808347,34,24
1581809710,28,29
1581810970,28,4
1581812051,19,24
1581813732,38,19
1581814570,12,0
1581815649,7,11
1581816489,5,0
1581817606,15,34
1581818827,18,11
1581820209,0,3773
1581820931,3760,0
1581821775,16,0
1581822916,13,8
1581824711,13,28
1581826452,18,15
1581827290,22,0
1581828132,13,17
1581829820,17,13
1581831732,32,28
1581832571,8,0
1581833715,8,8
1581834909,14,20
1581836170,42,10
1581837331,66,11
1581838527,77,28
1581839778,27,5
1581840851,10,12
1581841692,14,0
1581842534,10,29
1581843369,6,0
1581844515,15,15
1581846026,22,30
1581847237,16,21
1581848054,12,1
1581849730,0,3952
1581851662,3955,0
1581852490,14,0
1581854169,19,26
1581855315,14,14
1581856090,12,0
1581857415,14,36
1581858612,9,23
1581859711,15,0
1581861633,26,71
1581862826,37,0
1581864136,29,51
1581864973,17,0
1581866088,21,30
1581867623,34,40
1581869402,0,3925
1582023371,732,0
1582024513,32,80
1582026133,48,60
1582026971,25,0
1582028113,27,23
1582029304,36,42
1582029729,8,20
1582030570,27,1
1582031650,28,40
1582033331,53,104
1582034172,39,0
1582035251,33,52
1582036929,51,135
1582038138,46,37
1582039812,37,0
1582041291,39,0
1582042451,30,0
1582044129,35,0
1582044969,24,1
1582046050,25,0
1582047729,35,0
1582049022,26,0
1582050492,40,0
1582051891,29,1
1582053255,32,0
1582054362,26,0
1582055534,26,1
1582056849,34,0
1582058532,36,0
1582059380,17,0
1582060452,35,0
1582062130,45,0
1582062972,12,0
1582064053,22,1
1582064890,25,0
1582065733,19,0
1582066837,24,0
1582068489,42,0
1582070115,17,0
1582071310,29,0
1582072089,24,0
1582073770,38,0
1582074849,37,0
1582076533,29,0
1582077875,37,0
1582079110,31,0
1582080313,11,1
1582082049,32,0
1582083310,26,0
1582084928,38,0
1582086491,27,0
1582089254,53,0
1582090826,32,0
1582092333,34,0
1582092850,6,1
1582094548,43,0
1582096214,46,0
1582097417,22,0
1582098910,28,0
1582100049,24,0
1582100893,11,0
1582102177,22,0
1582103412,20,0
1582104523,36,0
1582106190,23,0
1582107250,22,1
1582108933,28,0
1582110852,54,0
1582112371,19,0
1582113375,17,0
1582114514,16,0
1582115645,25,1
1582118049,55,0
1582119736,26,0
1582120570,16,0
1582121714,30,0
1582123333,32,0
1582124768,29,0
1582126191,26,1
1582127395,18,0
1582128849,18,0
1582130002,26,0
1582131310,15,0
1582132450,18,1
1582134134,29,0
1582134969,15,0
1582136114,19,0
1582136898,16,0
1582138214,28,0
1582139652,32,0
1582141337,21,0
1582142181,11,0
1582143249,9,0
1582144089,21,0
1582146853,53,0
1582148337,19,0
1582150513,38,0
1582152134,26,0
1582154050,38,0
1582154889,16,0
1582155733,13,0
1582157654,37,0
1582159353,26,0
1582161013,26,0
1582162090,21,0
1582163709,18,0
1582164915,15,1
1582166110,26,0
1582168214,36,1
1582168449,5,0
1582169294,10,0
1582170913,15,0
1582172116,25,1
1582173634,22,0
1582175712,19,0
1582176490,13,0
1582177337,7,0
1582179253,26,0
1582180764,13,0
1582181784,9,0
1582182914,14,0
1582184619,14,1
1582185372,12,0
1582186516,20,0
1582187712,13,0
1582188973,16,0
1582190113,12,0
1582192840,35,6
1582194013,15,1
1582195241,19,39
1582197565,21,24
1582198951,23,37
1582200853,29,18
1582202535,28,51
1582204452,27,34
1582206136,17,40
1582206974,8,1
1582208072,21,23
1582209634,20,40
1582211316,18,28
1582212786,20,17
1582214110,23,12
1582215250,15,17
1582216515,17,20
1582217868,15,5
1582219214,17,17
1582220534,14,29
1582222007,33,18
1582223210,14,0
1582224334,13,35
1582226050,30,26
1582228063,59,40
1582229651,22,22
1582230816,13,41
1582233253,58,37
1582234346,33,27
1582235769,13,17
1582236912,14,15
1582237692,13,2
1582238962,13,33
1582240218,14,10
1582241416,15,29
1582244051,43,32
1582245311,30,37
1582247651,57,38
1582249338,19,36
1582250762,16,7
1582252214,22,35
1582252935,19,11
1582253772,12,0
1582254857,13,23
1582256538,15,39
1582257369,15,0
1582258450,15,20
1582260037,28,39
1582262051,29,27
1582262893,13,0
1582264235,26,46
1582265412,17,24
1582267333,40,45
1582269015,19,17
1582270216,18,18
1582271774,24,10
1582272913,21,15
1582274323,6,45
1582276214,19,24
1582276450,4,0
1582277933,13,32
1582278974,14,11
1582280054,26,26
1582280891,13,1
1582282510,32,44
1582283716,18,24
1582284912,16,27
1582286159,30,10
1582287253,20,19
1582288091,20,1
1582288944,14,38
1582290852,34,24
1582292544,31,45
1582293375,13,0
1582294514,29,27
1582296466,47,39
1582297815,16,22
1582298969,9,36
1582300111,11,8
1582301414,21,15
1582301652,3,0
1582303339,20,35
1582305255,21,24
1582306651,24,24
1582307808,17,12
1582308853,9,27
1582309692,12,0
1582311011,27,27
1582312453,24,16
1582314032,18,37
1582316054,28,20
1582317629,19,34
1582319330,32,22
1582319652,4,0
1582321354,16,37
1582322174,5,0
1582323282,9,27
1582324946,21,38
1582326619,21,25
1582327692,14,0
1582328996,24,34
1582330216,20,29
1582331295,16,1
1582333404,32,42
1582335016,19,38
1582336571,33,11
1582337652,28,17
1582339334,17,26
1582340532,14,20
1582342214,25,27
1582342932,4,10
1582344616,17,17
1582346533,20,30
1582347140,8,0
1582348513,30,19
1582350133,24,29
1582351233,9,10
1582352891,21,1
1582353730,15,23
1582355410,31,22
1582356613,19,24
1582358174,20,6
1582359248,19,22
1582361108,24,30
1582362914,18,18
1582364127,19,27
1582365271,12,24
1582366510,11,15
1582367292,11,0
1582368909,25,27
1582370051,10,22
1582371313,19,25
1582372512,21,9
1582373712,14,14
1582374910,17,11
1582376599,30,25
1582378091,23,0
1582378933,10,35
1582379771,10,0
1582380849,13,20
1582382531,17,27
1582384450,21,25
1582386027,22,32
1582386971,14,0
1582388118,4,18
1582389913,29,27
1582390569,12,0
1582391714,14,17
1582393332,24,30
1582395011,27,28
1582396213,19,28
1582397709,24,29
1582398854,11,29
1582400426,16,35
1582402449,21,24
1582404129,13,75
1582405813,20,12
1582407016,14,19
1582408210,15,9
1582409412,8,14
1582409651,5,0
1582410490,11,0
1582412171,23,48
1582413313,22,24
1582415535,48,51
1582416850,31,37
1582418429,31,25
1582420212,29,19
1582422133,26,41
1582422988,10,0
1582424113,12,23
1582425313,12,22
1582426533,15,7
1582427652,11,21
1582429231,10,39
1582431016,27,18
1582432931,29,44
1582433782,7,0
1582434850,14,18
1582436427,22,53
1582437623,18,20
1582438450,9,0
1582439682,10,20
1582441410,17,25
1582443013,26,17
1582445652,29,18
1582446492,8,0
1582448663,19,42
1582450225,21,33
1582450933,12,11
1582452613,22,19
1582454383,23,30
1582456449,25,42
